Strain	Clade	Species
Cryptococcus_bacillisporus_CA1280	Clade3	C_baci
Cryptococcus_bacillisporus_CA1873	Clade3	C_baci
Cryptococcus_decagattii_7685027	Clade4	C_deca
Cryptococcus_decagattii_CBS11687	Clade4	C_deca
Cryptococcus_deneoformans_NIH12	Clade2	C_dene
Cryptococcus_deneoformans_NIH433	Clade2	C_dene
Cryptococcus_deuterogattii_CBS10090	Clade8	C_deut
Cryptococcus_deuterogattii_R265	Clade8	C_deut
Cryptococcus_gattii_E566	Clade5	C_gatt
Cryptococcus_gattii_WM276	Clade5	C_gatt
Cryptococcus_neoformans_125.91	CladeVNI	C_neof
Cryptococcus_neoformans_Bt1	CladeVNBII	C_neof
Cryptococcus_neoformans_Bt206	CladeVNBII	C_neof
Cryptococcus_neoformans_Bt22	CladeVNBI	C_neof
Cryptococcus_neoformans_Ftc555-1	CladeVNBI	C_neof
Cryptococcus_neoformans_H99	CladeVNI	C_neof
Cryptococcus_neoformans_PMHc1023.ENR	CladeVNII	C_neof
Cryptococcus_neoformans_T4	CladeVNII	C_neof
Cryptococcus_hyracis_MF13	Clade6	C_hyra
Cryptococcus_hyracis_MF34	Clade6	C_hyra
Cryptococcus_tetragattii_CBS11718	Clade7	C_tetr
Cryptococcus_tetragattii_IND107	Clade7	C_tetr
Cryptococcus_cederbergensis_CMW60451	Clade9	C_cede
Cryptococcus_amylolentus_CBS6039	Clade10	C_amyl
Cryptococcus_amylolentus_CBS6273	Clade10	C_amyl
Cryptococcus_wingfieldii_CBS7118	Clade11	C_wing
Cryptococcus_floricola_DSM27421	Clade12	C_flor
Cryptococcus_maquisensis_OR849	Clade13	C_maqu
Cryptococcus_depauperatus_CBS7841	Clade14	C_depa
Cryptococcus_depauperatus_CBS7855	Clade14	C_depa
Cryptococcus_porticicola_DSM111205	Clade15	C_port
Cryptococcus_porticicola_DSM111204	Clade15	C_port
Cryptococcus_porticicola_DSM117830	Clade15	C_port
Cryptococcus_porticicola_DSM108351	Clade15	C_port
Cryptococcus_porticicola_NCYC1536	Clade15	C_port
Cryptococcus_porticicola_DSM108352	Clade15	C_port
Cryptococcus_fructiofici_DSM109063	Clade16	C_fruc
Cryptococcus_jaspeensis_OR918	Clade17	C_jasp